Longitude,Latitude,Roadsegment
-8.624682,41.159565,208975
-8.630667,41.159916,142764
-8.63028,41.159241,156182
-8.630235,41.159169,156183
-8.630055,41.158944,156185
-8.630397,41.15826,231193
-8.631711,41.158566,234772
-8.630991,41.159502,234780
-8.627895,41.156298,80864
-8.62839,41.156757,80864
-8.628507,41.156847,80864
-8.628399,41.156892,80864
-8.628498,41.156901,80864
-8.628129,41.15754,274013
-8.62794,41.157756,276279
-8.628183,41.158503,134545
-8.628858,41.159205,148168
-8.627688,41.155857,80864
-8.628129,41.156154,80864
-8.624034,41.160069,208041
-8.624394,41.15997,208041
-8.625051,41.159754,2652
-8.626122,41.15925,2652
-8.626842,41.158953,2652
-8.626977,41.158872,2652
-8.627076,41.1588,2652
-8.6274,41.158647,2653
-8.627517,41.15862,2653
-8.628444,41.158719,134547
-8.62965,41.158917,276243
-8.630307,41.158323,231188
-8.631954,41.158449,288429
-8.634015,41.158782,288419
-8.623512,41.158647,208984
-8.623809,41.158782,208984
-8.62407,41.158926,208983
-8.623449,41.159322,3582
-8.627625,41.15574,127920
-8.628147,41.156586,80864
-8.628399,41.156883,80864
-8.628084,41.157279,276274
-8.62794,41.157603,276278
-8.627913,41.15781,276280
-8.62839,41.158683,134547
-8.629443,41.158872,276242
-8.630145,41.158467,276246
-8.630343,41.157594,276251
-8.630136,41.157288,276254
-8.633277,41.158683,52556
-8.633016,41.159232,52556
-8.632818,41.160051,52557
-8.631018,41.159592,128067
-8.630019,41.158917,156185
-8.63001,41.158611,276245
-8.630082,41.158665,276245
-8.624232,41.159979,208041
-8.624475,41.159934,208041
-8.6247,41.159664,208975
-8.623935,41.158827,208983
-8.627679,41.155785,127920
-8.628363,41.156442,80864
-8.628498,41.156541,80864
-8.628066,41.15736,276274
-8.62794,41.157918,276266
-8.626905,41.158818,2652
-8.62506,41.159745,2652
-8.624853,41.159844,2652
-8.624412,41.15997,208041
-8.62875,41.159772,136780
-8.6292,41.15889,276241
-8.630172,41.158287,276247
-8.6301,41.15736,276253
-8.629551,41.156919,276257
-8.629902,41.155785,2939
-8.63334,41.158593,164196
-8.631981,41.158341,288425
-8.628453,41.157441,225388
-8.628192,41.157567,250667
-8.628066,41.157639,250668
-8.628012,41.157819,274017
-8.628336,41.158404,274033
-8.629326,41.158656,225309
-8.629776,41.158557,250692
-8.630361,41.157774,250699
-8.629866,41.157036,276256
-8.62947,41.156694,208935
-8.629794,41.156019,2936
-8.62416,41.160033,208041
-8.624493,41.159979,208041
-8.625195,41.159709,2652
-8.626914,41.158935,2652
-8.627634,41.15862,2653
-8.627769,41.15853,2653
-8.62902,41.158926,276277
-8.630235,41.158296,276247
-8.630199,41.157441,276252
-8.629866,41.157153,276255
-8.629515,41.156604,208935
-8.624538,41.159853,208041
-8.626023,41.159286,2652
-8.627877,41.158476,2653
-8.627814,41.158539,2653
-8.628237,41.158611,134546
-8.6301,41.158431,276246
-8.630244,41.158179,276264
-8.630298,41.157666,276251
-8.629173,41.156937,276260
-8.62848,41.157126,276271
-8.628003,41.157252,276274
-8.628021,41.157333,276274
-8.62353,41.15709,80862
-8.623692,41.157135,80862
-8.625384,41.157387,2951
-8.627265,41.157702,2952
-8.627931,41.157918,276266
-8.628129,41.158413,134544
-8.629371,41.158899,276242
-8.629623,41.158854,276243
-8.630703,41.158251,288427
-8.632746,41.158584,288431
-8.626275,41.156685,273110
-8.62623,41.15691,273110
-8.625915,41.157351,2971
-8.625195,41.157198,2971
-8.625195,41.156415,10813
-8.623287,41.155803,10801
-8.624088,41.157162,80863
-8.627382,41.157702,2952
-8.627895,41.158296,276269
-8.628714,41.158899,134549
-8.627787,41.1561,80864
-8.623422,41.157027,80862
-8.62551,41.157387,2951
-8.627625,41.157738,2952
-8.627985,41.158197,276268
-8.628624,41.158872,134548
-8.624538,41.159178,208981
-8.623305,41.158386,208986
-8.623827,41.158773,208984
-8.624682,41.159619,208975
-8.624691,41.160168,229911
-8.628363,41.15745,225385
-8.628129,41.15772,274015
-8.628489,41.158647,278839
-8.629623,41.158719,250682
-8.630235,41.158269,276264
-8.630325,41.1579,276249
-8.630235,41.157378,10192
-8.630973,41.156937,10197
-8.631864,41.157162,259927
-8.632719,41.158071,259925
-8.63343,41.158701,288419
-8.627697,41.156118,80864
-8.628309,41.156631,80864
-8.628462,41.157072,276271
-8.628093,41.157747,274016
-8.627913,41.157918,276266
-8.628255,41.158638,134546
-8.628651,41.159682,148168
-8.633727,41.158674,164195
-8.631405,41.158269,288425
