Longitude,Latitude,Grid(Long-Lad size 0.00005),Grid2(Long-Lad size 0.0005),Grid3(Long-Lad size 0.0001),Grid4(Long-Lad size 0.001),Roadsegment
-8.624682,41.159565,188_80,19_8,94_40,10_4,208975
-8.630667,41.159916,69_87,7_9,35_44,4_5,142764
-8.63028,41.159241,76_73,8_8,38_37,4_4,156182
-8.630235,41.159169,77_72,8_8,39_36,4_4,156183
-8.630055,41.158944,81_67,9_7,41_34,5_4,156185
-8.630397,41.15826,74_54,8_6,37_27,4_3,231193
-8.631711,41.158566,48_60,5_6,24_30,3_3,234772
-8.630991,41.159502,62_78,7_8,31_39,4_4,234780
-8.627895,41.156298,124_14,13_2,62_7,7_1,80864
-8.62839,41.156757,114_24,12_3,57_12,6_2,80864
-8.628507,41.156847,112_25,12_3,56_13,6_2,80864
-8.628399,41.156892,114_26,12_3,57_13,6_2,80864
-8.628498,41.156901,112_26,12_3,56_13,6_2,80864
-8.628129,41.15754,119_39,12_4,60_20,6_2,274013
-8.62794,41.157756,123_44,13_5,62_22,7_3,276279
-8.628183,41.158503,118_58,12_6,59_29,6_3,134545
-8.628858,41.159205,105_72,11_8,53_36,6_4,148168
-8.627688,41.155857,128_6,13_1,64_3,7_1,80864
-8.628129,41.156154,119_11,12_2,60_6,6_1,80864
-8.624034,41.160069,201_90,21_9,101_45,11_5,208041
-8.624394,41.15997,194_88,20_9,97_44,10_5,208041
-8.625051,41.159754,181_83,19_9,91_42,10_5,2652
-8.626122,41.15925,159_73,16_8,80_37,8_4,2652
-8.626842,41.158953,145_67,15_7,73_34,8_4,2652
-8.626977,41.158872,142_66,15_7,71_33,8_4,2652
-8.627076,41.1588,140_64,14_7,70_32,7_4,2652
-8.6274,41.158647,134_61,14_7,67_31,7_4,2653
-8.627517,41.15862,132_61,14_7,66_31,7_4,2653
-8.628444,41.158719,113_63,12_7,57_32,6_4,134547
-8.62965,41.158917,89_67,9_7,45_34,5_4,276243
-8.630307,41.158323,76_55,8_6,38_28,4_3,231188
-8.631954,41.158449,43_57,5_6,22_29,3_3,288429
-8.634015,41.158782,2_64,1_7,1_32,1_4,288419
-8.623512,41.158647,212_61,22_7,106_31,11_4,208984
-8.623809,41.158782,206_64,21_7,103_32,11_4,208984
-8.62407,41.158926,200_67,20_7,100_34,10_4,208983
-8.623449,41.159322,213_75,22_8,107_38,11_4,3582
-8.627625,41.15574,129_3,13_1,65_2,7_1,127920
-8.628147,41.156586,119_20,12_2,60_10,6_1,80864
-8.628399,41.156883,114_26,12_3,57_13,6_2,80864
-8.628084,41.157279,120_34,12_4,60_17,6_2,276274
-8.62794,41.157603,123_40,13_4,62_20,7_2,276278
-8.627913,41.15781,124_45,13_5,62_23,7_3,276280
-8.62839,41.158683,114_62,12_7,57_31,6_4,134547
-8.629443,41.158872,93_66,10_7,47_33,5_4,276242
-8.630145,41.158467,79_58,8_6,40_29,4_3,276246
-8.630343,41.157594,75_40,8_4,38_20,4_2,276251
-8.630136,41.157288,79_34,8_4,40_17,4_2,276254
-8.633277,41.158683,16_62,2_7,8_31,1_4,52556
-8.633016,41.159232,22_73,3_8,11_37,2_4,52556
-8.632818,41.160051,26_89,3_9,13_45,2_5,52557
-8.631018,41.159592,62_80,7_8,31_40,4_4,128067
-8.630019,41.158917,82_67,9_7,41_34,5_4,156185
-8.63001,41.158611,82_61,9_7,41_31,5_4,276245
-8.630082,41.158665,80_62,8_7,40_31,4_4,276245
-8.624232,41.159979,197_88,20_9,99_44,10_5,208041
-8.624475,41.159934,192_87,20_9,96_44,10_5,208041
-8.6247,41.159664,188_82,19_9,94_41,10_5,208975
-8.623935,41.158827,203_65,21_7,102_33,11_4,208983
-8.627679,41.155785,128_4,13_1,64_2,7_1,127920
-8.628363,41.156442,115_17,12_2,58_9,6_1,80864
-8.628498,41.156541,112_19,12_2,56_10,6_1,80864
-8.628066,41.15736,121_36,13_4,61_18,7_2,276274
-8.62794,41.157918,123_47,13_5,62_24,7_3,276266
-8.626905,41.158818,144_65,15_7,72_33,8_4,2652
